===== Simulator configuration =====
BLOCKSIZE:  16
L1_SIZE:    1024
L1_ASSOC:   1
L2_SIZE:    0
L2_ASSOC:   0
PREF_N:     1
PREF_M:     4
trace_file: traces/gcc_trace.txt
SB: 4214c4a  4214c4b  4214c4c  4214c4d  
SB: 4214c6a  4214c6b  4214c6c  4214c6d  
SB: 4013955  4013956  4013957  4013958  
SB: 4214c35  4214c36  4214c37  4214c38  
SB: 4013886  4013887  4013888  4013889  
SB: 4013652  4013653  4013654  4013655  
SB: 4214c5a  4214c5b  4214c5c  4214c5d  
SB: 423afd5  423afd6  423afd7  423afd8  
SB: 40138f5  40138f6  40138f7  40138f8  
SB: 40022cc  40022cd  40022ce  40022cf  
SB: df807  df808  df809  df80a  
SB: 7b03452  7b03453  7b03454  7b03455  
SB: 423afd6  423afd7  423afd8  423afd9  
SB: 7b0344b  7b0344c  7b0344d  7b0344e  
SB: 7b03441  7b03442  7b03443  7b03444  
SB: 7b0344f  7b03450  7b03451  7b03452  
SB: 7b0344c  7b0344d  7b0344e  7b0344f  
SB: 7b0344f  7b03450  7b03451  7b03452  
SB: 7b0343b  7b0343c  7b0343d  7b0343e  
SB: 7b03442  7b03443  7b03444  7b03445  
SB: 7b03450  7b03451  7b03452  7b03453  
SB: 7b0344d  7b0344e  7b0344f  7b03450  
SB: 7b03450  7b03451  7b03452  7b03453  
SB: 7b03443  7b03444  7b03445  7b03446  
SB: 7b03451  7b03452  7b03453  7b03454  
SB: 7b0344e  7b0344f  7b03450  7b03451  
SB: 7b03451  7b03452  7b03453  7b03454  
SB: 7b03452  7b03453  7b03454  7b03455  
SB: 40139a6  40139a7  40139a8  40139a9  
SB: 423afdb  423afdc  423afdd  423afde  
SB: 40023c9  40023ca  40023cb  40023cc  
SB: 7b034c2  7b034c3  7b034c4  7b034c5  
SB: 4003635  4003636  4003637  4003638  
SB: 40022e6  40022e7  40022e8  40022e9  
